ID,Term,Uzbek Meaning,Difficulty,Category,Context
196,lesson practice,dars mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
197,lesson group,dars guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
198,lesson task,dars topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
199,lesson note,dars qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
200,student book,o‘quvchi kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
201,student room,o‘quvchi xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
202,student work,o‘quvchi ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
203,student time,o‘quvchi vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
204,student plan,o‘quvchi reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
205,student test,o‘quvchi test,Low,School,The lesson uses the vocabulary item ___ in a school context.
206,student practice,o‘quvchi mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
207,student group,o‘quvchi guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
208,student task,o‘quvchi topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
209,student note,o‘quvchi qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
210,teacher book,o‘qituvchi kitob,Low,School,The lesson uses the vocabulary item ___ in a school context.
211,teacher room,o‘qituvchi xona,Low,School,The lesson uses the vocabulary item ___ in a school context.
212,teacher work,o‘qituvchi ish,Low,School,The lesson uses the vocabulary item ___ in a school context.
213,teacher time,o‘qituvchi vaqt,Low,School,The lesson uses the vocabulary item ___ in a school context.
214,teacher plan,o‘qituvchi reja,Low,School,The lesson uses the vocabulary item ___ in a school context.
215,teacher test,o‘qituvchi test,Low,School,The lesson uses the vocabulary item ___ in a school context.
216,teacher practice,o‘qituvchi mashq,Low,School,The lesson uses the vocabulary item ___ in a school context.
217,teacher group,o‘qituvchi guruh,Low,School,The lesson uses the vocabulary item ___ in a school context.
218,teacher task,o‘qituvchi topshiriq,Low,School,The lesson uses the vocabulary item ___ in a school context.
219,teacher note,o‘qituvchi qayd,Low,School,The lesson uses the vocabulary item ___ in a school context.
220,daily routine,kundalik tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
221,daily meal,kundalik ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
222,daily walk,kundalik sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
223,daily activity,kundalik faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
224,daily habit,kundalik odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
225,daily schedule,kundalik jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
226,daily time,kundalik vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
227,daily break,kundalik tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
228,daily plan,kundalik reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
229,daily exercise,kundalik mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
230,morning routine,ertalabki tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
231,morning meal,ertalabki ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
232,morning walk,ertalabki sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
233,morning activity,ertalabki faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
234,morning habit,ertalabki odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
235,morning schedule,ertalabki jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
236,morning time,ertalabki vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
237,morning break,ertalabki tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
238,morning plan,ertalabki reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
239,morning exercise,ertalabki mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
240,evening routine,kechki tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
241,evening meal,kechki ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
242,evening walk,kechki sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
243,evening activity,kechki faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
244,evening habit,kechki odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
245,evening schedule,kechki jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
246,evening time,kechki vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
247,evening break,kechki tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
248,evening plan,kechki reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
249,evening exercise,kechki mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
250,home routine,uy tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
251,home meal,uy ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
252,home walk,uy sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
253,home activity,uy faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
254,home habit,uy odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
255,home schedule,uy jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
256,home time,uy vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
257,home break,uy tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
258,home plan,uy reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
259,home exercise,uy mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
260,family routine,oilaviy tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
261,family meal,oilaviy ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
262,family walk,oilaviy sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
263,family activity,oilaviy faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
264,family habit,oilaviy odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
265,family schedule,oilaviy jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
266,family time,oilaviy vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
267,family break,oilaviy tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
268,family plan,oilaviy reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
269,family exercise,oilaviy mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
270,free routine,bo‘sh tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
271,free meal,bo‘sh ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
272,free walk,bo‘sh sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
273,free activity,bo‘sh faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
274,free habit,bo‘sh odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
275,free schedule,bo‘sh jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
276,free time,bo‘sh vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
277,free break,bo‘sh tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
278,free plan,bo‘sh reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
279,free exercise,bo‘sh mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
280,weekend routine,dam olish kuni tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
281,weekend meal,dam olish kuni ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
282,weekend walk,dam olish kuni sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
283,weekend activity,dam olish kuni faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
284,weekend habit,dam olish kuni odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
285,weekend schedule,dam olish kuni jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
286,weekend time,dam olish kuni vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
287,weekend break,dam olish kuni tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
288,weekend plan,dam olish kuni reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
289,weekend exercise,dam olish kuni mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
290,simple routine,oddiy tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
291,simple meal,oddiy ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
292,simple walk,oddiy sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
293,simple activity,oddiy faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
294,simple habit,oddiy odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
295,simple schedule,oddiy jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
296,simple time,oddiy vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
297,simple break,oddiy tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
298,simple plan,oddiy reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
299,simple exercise,oddiy mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
300,healthy routine,sog‘lom tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
301,healthy meal,sog‘lom ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
302,healthy walk,sog‘lom sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
303,healthy activity,sog‘lom faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
304,healthy habit,sog‘lom odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
305,healthy schedule,sog‘lom jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
306,healthy time,sog‘lom vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
307,healthy break,sog‘lom tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
308,healthy plan,sog‘lom reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
309,healthy exercise,sog‘lom mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
310,regular routine,muntazam tartib,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
311,regular meal,muntazam ovqat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
312,regular walk,muntazam sayr,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
313,regular activity,muntazam faoliyat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
314,regular habit,muntazam odat,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
315,regular schedule,muntazam jadval,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
316,regular time,muntazam vaqt,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
317,regular break,muntazam tanaffus,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
318,regular plan,muntazam reja,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
319,regular exercise,muntazam mashq,Low,Daily Life,The lesson uses the vocabulary item ___ in a daily life context.
320,bus ticket,avtobus chipta,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
321,bus map,avtobus xarita,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
322,bus route,avtobus yo‘nalish,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
323,bus time,avtobus vaqt,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
324,bus trip,avtobus safar,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
325,bus service,avtobus xizmat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
326,bus stop,avtobus bekat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
327,bus guide,avtobus qo‘llanma,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
328,bus plan,avtobus reja,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
329,bus information,avtobus ma’lumot,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
330,train ticket,poyezd chipta,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
331,train map,poyezd xarita,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
332,train route,poyezd yo‘nalish,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
333,train time,poyezd vaqt,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
334,train trip,poyezd safar,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
335,train service,poyezd xizmat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
336,train stop,poyezd bekat,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
337,train guide,poyezd qo‘llanma,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
338,train plan,poyezd reja,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
339,train information,poyezd ma’lumot,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
340,travel ticket,sayohat chipta,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
341,travel map,sayohat xarita,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
342,travel route,sayohat yo‘nalish,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
343,travel time,sayohat vaqt,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
344,travel trip,sayohat safar,Low,Travel,The lesson uses the vocabulary item ___ in a travel context.
