ID,Term,Uzbek Meaning,Difficulty,Category,Type,Question,Option A,Option B,Option C,Option D,Correct,Explanation
37,learn,o‘rganmoq,Low,Learning,EN→UZ,Choose the best Uzbek meaning of 'learn'.,muntazam sayr,avtobus ma’lumot,sayohat bekat,o‘rganmoq,D,'learn' means 'o‘rganmoq' in Uzbek. Remember it together with its context.
38,learn,o‘rganmoq,Low,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'o‘rganmoq'.,bus information,travel stop,learn,regular walk,C,The English word or phrase for 'o‘rganmoq' is 'learn'.
39,learn,o‘rganmoq,Low,Learning,Context,Students _____ new words each week.,travel stop,learn,regular walk,bus information,B,The best answer in this context is 'learn' (o‘rganmoq).
40,remember,eslamoq,Low,Learning,EN→UZ,Choose the best Uzbek meaning of 'remember'.,eslamoq,poyezd chipta,sayohat qo‘llanma,mahalliy safar,A,'remember' means 'eslamoq' in Uzbek. Remember it together with its context.
41,remember,eslamoq,Low,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'eslamoq'.,train ticket,travel guide,local trip,remember,D,The English word or phrase for 'eslamoq' is 'remember'.
42,remember,eslamoq,Low,Learning,Context,I use flashcards to _____ vocabulary.,travel guide,local trip,remember,train ticket,C,The best answer in this context is 'remember' (eslamoq).
43,easy,oson,Low,General,EN→UZ,Choose the best Uzbek meaning of 'easy'.,uy tartib,oson,o‘qituvchi mashq,ertalabki faoliyat,B,'easy' means 'oson' in Uzbek. Remember it together with its context.
44,easy,oson,Low,General,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'oson'.,easy,teacher practice,morning activity,home routine,A,The English word or phrase for 'oson' is 'easy'.
45,easy,oson,Low,General,Context,This exercise is very _____.,teacher practice,morning activity,home routine,easy,D,The best answer in this context is 'easy' (oson).
46,difficult,qiyin,Low,General,EN→UZ,Choose the best Uzbek meaning of 'difficult'.,o‘qish test,o‘qish ish,qiyin,sinf topshiriq,C,'difficult' means 'qiyin' in Uzbek. Remember it together with its context.
47,difficult,qiyin,Low,General,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'qiyin'.,study work,difficult,class task,reading test,B,The English word or phrase for 'qiyin' is 'difficult'.
48,difficult,qiyin,Low,General,Context,The last question was _____.,difficult,class task,reading test,study work,A,The best answer in this context is 'difficult' (qiyin).
49,important,muhim,Low,General,EN→UZ,Choose the best Uzbek meaning of 'important'.,o‘qish reja,dars xona,o‘quvchi topshiriq,muhim,D,'important' means 'muhim' in Uzbek. Remember it together with its context.
50,important,muhim,Low,General,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'muhim'.,lesson room,student task,important,study plan,C,The English word or phrase for 'muhim' is 'important'.
51,important,muhim,Low,General,Context,Sleep is _____ for good health.,student task,important,study plan,lesson room,B,The best answer in this context is 'important' (muhim).
52,happy,xursand,Low,Feelings,EN→UZ,Choose the best Uzbek meaning of 'happy'.,xursand,avtobus reja,sayohat xizmat,mahalliy yo‘nalish,A,'happy' means 'xursand' in Uzbek. Remember it together with its context.
53,happy,xursand,Low,Feelings,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'xursand'.,bus plan,travel service,local route,happy,D,The English word or phrase for 'xursand' is 'happy'.
54,happy,xursand,Low,Feelings,Context,She felt _____ after passing the test.,travel service,local route,happy,bus plan,C,The best answer in this context is 'happy' (xursand).
55,tired,charchagan,Low,Feelings,EN→UZ,Choose the best Uzbek meaning of 'tired'.,shahar yo‘nalish,charchagan,muntazam reja,poyezd xizmat,B,'tired' means 'charchagan' in Uzbek. Remember it together with its context.
56,tired,charchagan,Low,Feelings,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'charchagan'.,tired,regular plan,train service,city route,A,The English word or phrase for 'charchagan' is 'tired'.
57,tired,charchagan,Low,Feelings,Context,He was _____ after a long day.,regular plan,train service,city route,tired,D,The best answer in this context is 'tired' (charchagan).
58,friend,do‘st,Low,People,EN→UZ,Choose the best Uzbek meaning of 'friend'.,sinf ish,ingliz tili qayd,do‘st,bugun,C,'friend' means 'do‘st' in Uzbek. Remember it together with its context.
59,friend,do‘st,Low,People,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'do‘st'.,English note,friend,today,class work,B,The English word or phrase for 'do‘st' is 'friend'.
60,friend,do‘st,Low,People,Context,My best _____ studies with me.,friend,today,class work,English note,A,The best answer in this context is 'friend' (do‘st).
61,family,oila,Low,People,EN→UZ,Choose the best Uzbek meaning of 'family'.,maktab test,ingliz tili ish,o‘qish qayd,oila,D,'family' means 'oila' in Uzbek. Remember it together with its context.
62,family,oila,Low,People,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'oila'.,English work,reading note,family,school test,C,The English word or phrase for 'oila' is 'family'.
63,family,oila,Low,People,Context,My _____ eats dinner together.,reading note,family,school test,English work,B,The best answer in this context is 'family' (oila).
64,city,shahar,Low,Places,EN→UZ,Choose the best Uzbek meaning of 'city'.,shahar,kundalik faoliyat,kechki tartib,uy tanaffus,A,'city' means 'shahar' in Uzbek. Remember it together with its context.
65,city,shahar,Low,Places,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'shahar'.,daily activity,evening routine,home break,city,D,The English word or phrase for 'shahar' is 'city'.
66,city,shahar,Low,Places,Context,Tashkent is a large _____.,evening routine,home break,city,daily activity,C,The best answer in this context is 'city' (shahar).
67,country,mamlakat,Low,Places,EN→UZ,Choose the best Uzbek meaning of 'country'.,sog‘lom jadval,mamlakat,bo‘sh ovqat,dam olish kuni reja,B,'country' means 'mamlakat' in Uzbek. Remember it together with its context.
68,country,mamlakat,Low,Places,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mamlakat'.,country,free meal,weekend plan,healthy schedule,A,The English word or phrase for 'mamlakat' is 'country'.
69,country,mamlakat,Low,Places,Context,Uzbekistan is a beautiful _____.,free meal,weekend plan,healthy schedule,country,D,The best answer in this context is 'country' (mamlakat).
70,market,bozor,Low,Places,EN→UZ,Choose the best Uzbek meaning of 'market'.,ingliz tili reja,so‘z xona,bozor,maktab guruh,C,'market' means 'bozor' in Uzbek. Remember it together with its context.
71,market,bozor,Low,Places,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bozor'.,word room,market,school group,English plan,B,The English word or phrase for 'bozor' is 'market'.
72,market,bozor,Low,Places,Context,We bought fruit at the _____.,market,school group,English plan,word room,A,The best answer in this context is 'market' (bozor).
73,shop,do‘kon,Low,Places,EN→UZ,Choose the best Uzbek meaning of 'shop'.,kundalik odat,kechki ovqat,uy reja,do‘kon,D,'shop' means 'do‘kon' in Uzbek. Remember it together with its context.
74,shop,do‘kon,Low,Places,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'do‘kon'.,evening meal,home plan,shop,daily habit,C,The English word or phrase for 'do‘kon' is 'shop'.
75,shop,do‘kon,Low,Places,Context,This _____ sells school supplies.,home plan,shop,daily habit,evening meal,B,The best answer in this context is 'shop' (do‘kon).
76,bus,avtobus,Low,Travel,EN→UZ,Choose the best Uzbek meaning of 'bus'.,avtobus,uxlamoq,maktab qayd,ingliz tili mashq,A,'bus' means 'avtobus' in Uzbek. Remember it together with its context.
77,bus,avtobus,Low,Travel,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'avtobus'.,sleep,school note,English practice,bus,D,The English word or phrase for 'avtobus' is 'bus'.
78,bus,avtobus,Low,Travel,Context,I go to school by _____.,school note,English practice,bus,sleep,C,The best answer in this context is 'bus' (avtobus).
79,train,poyezd,Low,Travel,EN→UZ,Choose the best Uzbek meaning of 'train'.,shahar reja,poyezd,avtobus safar,sayohat xarita,B,'train' means 'poyezd' in Uzbek. Remember it together with its context.
80,train,poyezd,Low,Travel,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'poyezd'.,train,bus trip,travel map,city plan,A,The English word or phrase for 'poyezd' is 'train'.
81,train,poyezd,Low,Travel,Context,The _____ leaves at nine o’clock.,bus trip,travel map,city plan,train,D,The best answer in this context is 'train' (poyezd).
82,ticket,chipta,Low,Travel,EN→UZ,Choose the best Uzbek meaning of 'ticket'.,ingliz tili reja,so‘z xona,chipta,maktab guruh,C,'ticket' means 'chipta' in Uzbek. Remember it together with its context.
83,ticket,chipta,Low,Travel,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'chipta'.,word room,ticket,school group,English plan,B,The English word or phrase for 'chipta' is 'ticket'.
84,ticket,chipta,Low,Travel,Context,I bought a _____ for Samarkand.,ticket,school group,English plan,word room,A,The best answer in this context is 'ticket' (chipta).
85,travel,sayohat qilmoq,Low,Travel,EN→UZ,Choose the best Uzbek meaning of 'travel'.,sinf guruh,o‘qish reja,o‘qish xona,sayohat qilmoq,D,'travel' means 'sayohat qilmoq' in Uzbek. Remember it together with its context.
86,travel,sayohat qilmoq,Low,Travel,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'sayohat qilmoq'.,reading plan,study room,travel,class group,C,The English word or phrase for 'sayohat qilmoq' is 'travel'.
87,travel,sayohat qilmoq,Low,Travel,Context,Many people like to _____ in summer.,study room,travel,class group,reading plan,B,The best answer in this context is 'travel' (sayohat qilmoq).
88,water,suv,Low,Health,EN→UZ,Choose the best Uzbek meaning of 'water'.,suv,avtobus ma’lumot,sayohat bekat,mahalliy vaqt,A,'water' means 'suv' in Uzbek. Remember it together with its context.
89,water,suv,Low,Health,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'suv'.,bus information,travel stop,local time,water,D,The English word or phrase for 'suv' is 'water'.
90,water,suv,Low,Health,Context,Drink enough _____ every day.,travel stop,local time,water,bus information,C,The best answer in this context is 'water' (suv).
91,food,ovqat,Low,Health,EN→UZ,Choose the best Uzbek meaning of 'food'.,kechki tartib,ovqat,o‘quvchi mashq,kundalik faoliyat,B,'food' means 'ovqat' in Uzbek. Remember it together with its context.
92,food,ovqat,Low,Health,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ovqat'.,food,student practice,daily activity,evening routine,A,The English word or phrase for 'ovqat' is 'food'.
93,food,ovqat,Low,Health,Context,Healthy _____ gives us energy.,student practice,daily activity,evening routine,food,D,The best answer in this context is 'food' (ovqat).
94,walk,piyoda yurmoq,Low,Health,EN→UZ,Choose the best Uzbek meaning of 'walk'.,ertalabki tartib,kechki tanaffus,piyoda yurmoq,o‘qituvchi vaqt,C,'walk' means 'piyoda yurmoq' in Uzbek. Remember it together with its context.
95,walk,piyoda yurmoq,Low,Health,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'piyoda yurmoq'.,evening break,walk,teacher time,morning routine,B,The English word or phrase for 'piyoda yurmoq' is 'walk'.
96,walk,piyoda yurmoq,Low,Health,Context,I _____ for twenty minutes after dinner.,walk,teacher time,morning routine,evening break,A,The best answer in this context is 'walk' (piyoda yurmoq).
97,sleep,uxlamoq,Low,Health,EN→UZ,Choose the best Uzbek meaning of 'sleep'.,muntazam mashq,poyezd bekat,shahar vaqt,uxlamoq,D,'sleep' means 'uxlamoq' in Uzbek. Remember it together with its context.
98,sleep,uxlamoq,Low,Health,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'uxlamoq'.,train stop,city time,sleep,regular exercise,C,The English word or phrase for 'uxlamoq' is 'sleep'.
99,sleep,uxlamoq,Low,Health,Context,Teenagers need enough _____ each night.,city time,sleep,regular exercise,train stop,B,The best answer in this context is 'sleep' (uxlamoq).
100,morning,ertalab,Low,Time,EN→UZ,Choose the best Uzbek meaning of 'morning'.,ertalab,kechki jadval,oilaviy sayr,bo‘sh mashq,A,'morning' means 'ertalab' in Uzbek. Remember it together with its context.
101,morning,ertalab,Low,Time,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ertalab'.,evening schedule,family walk,free exercise,morning,D,The English word or phrase for 'ertalab' is 'morning'.
102,morning,ertalab,Low,Time,Context,I study vocabulary in the _____.,family walk,free exercise,morning,evening schedule,C,The best answer in this context is 'morning' (ertalab).
103,evening,kechqurun,Low,Time,EN→UZ,Choose the best Uzbek meaning of 'evening'.,oilaviy jadval,kechqurun,ertalabki ovqat,kechki reja,B,'evening' means 'kechqurun' in Uzbek. Remember it together with its context.
104,evening,kechqurun,Low,Time,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'kechqurun'.,evening,morning meal,evening plan,family schedule,A,The English word or phrase for 'kechqurun' is 'evening'.
105,evening,kechqurun,Low,Time,Context,We review homework in the _____.,morning meal,evening plan,family schedule,evening,D,The best answer in this context is 'evening' (kechqurun).
106,today,bugun,Low,Time,EN→UZ,Choose the best Uzbek meaning of 'today'.,sayohat safar,mahalliy xarita,bugun,avtobus qo‘llanma,C,'today' means 'bugun' in Uzbek. Remember it together with its context.
107,today,bugun,Low,Time,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'bugun'.,local map,today,bus guide,travel trip,B,The English word or phrase for 'bugun' is 'today'.
108,today,bugun,Low,Time,Context,We have an English test _____.,today,bus guide,travel trip,local map,A,The best answer in this context is 'today' (bugun).
109,tomorrow,ertaga,Low,Time,EN→UZ,Choose the best Uzbek meaning of 'tomorrow'.,o‘qimoq,avtobus,maktab vaqt,ertaga,D,'tomorrow' means 'ertaga' in Uzbek. Remember it together with its context.
110,tomorrow,ertaga,Low,Time,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ertaga'.,bus,school time,tomorrow,read,C,The English word or phrase for 'ertaga' is 'tomorrow'.
111,tomorrow,ertaga,Low,Time,Context,The class will continue _____.,school time,tomorrow,read,bus,B,The best answer in this context is 'tomorrow' (ertaga).
112,before,oldin,Low,Time,EN→UZ,Choose the best Uzbek meaning of 'before'.,oldin,suv,maktab guruh,ingliz tili reja,A,'before' means 'oldin' in Uzbek. Remember it together with its context.
113,before,oldin,Low,Time,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'oldin'.,water,school group,English plan,before,D,The English word or phrase for 'oldin' is 'before'.
114,before,oldin,Low,Time,Context,Wash your hands _____ eating.,school group,English plan,before,water,C,The best answer in this context is 'before' (oldin).
115,after,keyin,Low,Time,EN→UZ,Choose the best Uzbek meaning of 'after'.,sayohat bekat,keyin,muntazam sayr,avtobus ma’lumot,B,'after' means 'keyin' in Uzbek. Remember it together with its context.
116,after,keyin,Low,Time,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'keyin'.,after,regular walk,bus information,travel stop,A,The English word or phrase for 'keyin' is 'after'.
117,after,keyin,Low,Time,Context,We went home _____ class.,regular walk,bus information,travel stop,after,D,The best answer in this context is 'after' (keyin).
118,because,chunki,Low,Grammar,EN→UZ,Choose the best Uzbek meaning of 'because'.,kundalik reja,kechki jadval,chunki,o‘qituvchi xona,C,'because' means 'chunki' in Uzbek. Remember it together with its context.
119,because,chunki,Low,Grammar,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'chunki'.,evening schedule,because,teacher room,daily plan,B,The English word or phrase for 'chunki' is 'because'.
120,because,chunki,Low,Grammar,Context,I study English _____ I want to travel.,because,teacher room,daily plan,evening schedule,A,The best answer in this context is 'because' (chunki).
121,improve,yaxshilamoq,Medium,Learning,EN→UZ,Choose the best Uzbek meaning of 'improve'.,madaniy qo‘llab-quvvatlash,milliy o‘zlik,to‘g‘ri,yaxshilamoq,D,'improve' means 'yaxshilamoq' in Uzbek. Remember it together with its context.
122,improve,yaxshilamoq,Medium,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'yaxshilamoq'.,national identity,correct,improve,cultural support,C,The English word or phrase for 'yaxshilamoq' is 'improve'.
123,improve,yaxshilamoq,Medium,Learning,Context,Regular practice can _____ your reading speed.,correct,improve,cultural support,national identity,B,The best answer in this context is 'improve' (yaxshilamoq).
124,practice,mashq qilmoq,Medium,Learning,EN→UZ,Choose the best Uzbek meaning of 'practice'.,mashq qilmoq,akademik usul,amaliy strategiya,mustaqil ko‘nikma,A,'practice' means 'mashq qilmoq' in Uzbek. Remember it together with its context.
125,practice,mashq qilmoq,Medium,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'mashq qilmoq'.,academic method,practical strategy,independent skill,practice,D,The English word or phrase for 'mashq qilmoq' is 'practice'.
126,practice,mashq qilmoq,Medium,Learning,Context,You need to _____ vocabulary regularly.,practical strategy,independent skill,practice,academic method,C,The best answer in this context is 'practice' (mashq qilmoq).
127,review,takrorlamoq,Medium,Learning,EN→UZ,Choose the best Uzbek meaning of 'review'.,mahalliy qaror,takrorlamoq,savdo talab,biznes fikr,B,'review' means 'takrorlamoq' in Uzbek. Remember it together with its context.
128,review,takrorlamoq,Medium,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'takrorlamoq'.,review,sales demand,business feedback,local decision,A,The English word or phrase for 'takrorlamoq' is 'review'.
129,review,takrorlamoq,Medium,Learning,Context,Students should _____ mistakes after a test.,sales demand,business feedback,local decision,review,D,The best answer in this context is 'review' (takrorlamoq).
130,focus,diqqatni jamlamoq,Medium,Learning,EN→UZ,Choose the best Uzbek meaning of 'focus'.,onlayn tarmoq,xavfsiz qurilma,diqqatni jamlamoq,raqamli yechim,C,'focus' means 'diqqatni jamlamoq' in Uzbek. Remember it together with its context.
131,focus,diqqatni jamlamoq,Medium,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'diqqatni jamlamoq'.,secure device,focus,digital solution,online network,B,The English word or phrase for 'diqqatni jamlamoq' is 'focus'.
132,focus,diqqatni jamlamoq,Medium,Learning,Context,Turn off notifications so you can _____.,focus,digital solution,online network,secure device,A,The best answer in this context is 'focus' (diqqatni jamlamoq).
133,progress,rivojlanish,Medium,Learning,EN→UZ,Choose the best Uzbek meaning of 'progress'.,mustaqil maqsad,til baholash,lug‘at rivojlanish,rivojlanish,D,'progress' means 'rivojlanish' in Uzbek. Remember it together with its context.
134,progress,rivojlanish,Medium,Learning,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'rivojlanish'.,language assessment,vocabulary progress,progress,independent goal,C,The English word or phrase for 'rivojlanish' is 'progress'.
135,progress,rivojlanish,Medium,Learning,Context,The chart shows the student’s reading _____.,vocabulary progress,progress,independent goal,language assessment,B,The best answer in this context is 'progress' (rivojlanish).
136,result,natija,Medium,Assessment,EN→UZ,Choose the best Uzbek meaning of 'result'.,natija,biznes reja,mahalliy talab,xizmat o‘sish,A,'result' means 'natija' in Uzbek. Remember it together with its context.
137,result,natija,Medium,Assessment,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'natija'.,business plan,local demand,service growth,result,D,The English word or phrase for 'natija' is 'result'.
138,result,natija,Medium,Assessment,Context,Your test _____ will appear after submission.,local demand,service growth,result,business plan,C,The best answer in this context is 'result' (natija).
139,score,ball,Medium,Assessment,EN→UZ,Choose the best Uzbek meaning of 'score'.,mobil yechim,ball,raqamli xizmat,onlayn vosita,B,'score' means 'ball' in Uzbek. Remember it together with its context.
140,score,ball,Medium,Assessment,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'ball'.,score,digital service,online tool,mobile solution,A,The English word or phrase for 'ball' is 'score'.
141,score,ball,Medium,Assessment,Context,Her reading _____ increased from 60 to 75.,digital service,online tool,mobile solution,score,D,The best answer in this context is 'score' (ball).
142,correct,to‘g‘ri,Medium,Assessment,EN→UZ,Choose the best Uzbek meaning of 'correct'.,madaniy mas’uliyat,milliy masala,to‘g‘ri,ijtimoiy xizmat,C,'correct' means 'to‘g‘ri' in Uzbek. Remember it together with its context.
143,correct,to‘g‘ri,Medium,Assessment,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'to‘g‘ri'.,national issue,correct,social service,cultural responsibility,B,The English word or phrase for 'to‘g‘ri' is 'correct'.
144,correct,to‘g‘ri,Medium,Assessment,Context,Choose the _____ answer.,correct,social service,cultural responsibility,national issue,A,The best answer in this context is 'correct' (to‘g‘ri).
145,incorrect,noto‘g‘ri,Medium,Assessment,EN→UZ,Choose the best Uzbek meaning of 'incorrect'.,mobil xizmat,avtomatlashtirilgan vosita,texnik yechim,noto‘g‘ri,D,'incorrect' means 'noto‘g‘ri' in Uzbek. Remember it together with its context.
146,incorrect,noto‘g‘ri,Medium,Assessment,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'noto‘g‘ri'.,automated tool,technical solution,incorrect,mobile service,C,The English word or phrase for 'noto‘g‘ri' is 'incorrect'.
147,incorrect,noto‘g‘ri,Medium,Assessment,Context,The system explains why an answer is _____.,technical solution,incorrect,mobile service,automated tool,B,The best answer in this context is 'incorrect' (noto‘g‘ri).
148,explain,tushuntirmoq,Medium,Assessment,EN→UZ,Choose the best Uzbek meaning of 'explain'.,tushuntirmoq,jamoat loyiha,madaniy qo‘llab-quvvatlash,milliy o‘zlik,A,'explain' means 'tushuntirmoq' in Uzbek. Remember it together with its context.
149,explain,tushuntirmoq,Medium,Assessment,UZ→EN,Choose the English word or phrase that matches the Uzbek meaning 'tushuntirmoq'.,public project,cultural support,national identity,explain,D,The English word or phrase for 'tushuntirmoq' is 'explain'.
150,explain,tushuntirmoq,Medium,Assessment,Context,The teacher asked him to _____ his answer.,cultural support,national identity,explain,public project,C,The best answer in this context is 'explain' (tushuntirmoq).
