ID,Topic,Difficulty,Kind,Passage,Question,Option A,Option B,Option C,Option D,Correct,Explanation
21,Education,High,Detail,"A school used to check homework only for completion, so some students copied answers. Teachers later selected two homework questions at random and asked students to explain their reasoning in class. Students became more careful because they knew they might need to justify an answer.",What did teachers begin asking students to do?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,explain their reasoning in class,D,Correct answer: explain their reasoning in class. The passage directly supports this answer; the other choices are not supported by the text.
22,Education,High,Reasoning,"A school used to check homework only for completion, so some students copied answers. Teachers later selected two homework questions at random and asked students to explain their reasoning in class. Students became more careful because they knew they might need to justify an answer.",Why did student effort improve?,an unrelated interpretation,the opposite of the writer's point,Students knew they might have to justify their answers.,a claim the passage does not support,C,Correct answer: Students knew they might have to justify their answers.. The passage directly supports this answer; the other choices are not supported by the text.
23,Education,High,Detail,"Two groups studied the same subject for a total of three hours. Group A studied for three hours on one day, while Group B studied for thirty minutes on six different days. One week later, Group B remembered more.",How was Group B's study time organised?,the opposite of the writer's point,thirty minutes on six different days,a claim the passage does not support,an unrelated interpretation,B,Correct answer: thirty minutes on six different days. The passage directly supports this answer; the other choices are not supported by the text.
24,Education,High,Reasoning,"Two groups studied the same subject for a total of three hours. Group A studied for three hours on one day, while Group B studied for thirty minutes on six different days. One week later, Group B remembered more.",What conclusion is best supported?,Distributed practice may support longer-term memory.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: Distributed practice may support longer-term memory.. The passage directly supports this answer; the other choices are not supported by the text.
25,Science & Technology,Low,Detail,A smartwatch can count steps and measure heart rate. Many users check it to see how active they are during the day.,What can the smartwatch measure besides steps?,a completely different activity,something not mentioned in the passage,the opposite of the passage,heart rate,D,Correct answer: heart rate. The passage directly supports this answer; the other choices are not supported by the text.
26,Science & Technology,Low,Reasoning,A smartwatch can count steps and measure heart rate. Many users check it to see how active they are during the day.,Why do many people check the smartwatch?,something not mentioned in the passage,the opposite of the passage,to see how active they are,a completely different activity,C,Correct answer: to see how active they are. The passage directly supports this answer; the other choices are not supported by the text.
27,Science & Technology,Low,Detail,Solar panels turn sunlight into electricity. Dust or heavy shade can reduce how much sunlight reaches the panels.,What do solar panels turn into electricity?,the opposite of the passage,sunlight,a completely different activity,something not mentioned in the passage,B,Correct answer: sunlight. The passage directly supports this answer; the other choices are not supported by the text.
28,Science & Technology,Low,Reasoning,Solar panels turn sunlight into electricity. Dust or heavy shade can reduce how much sunlight reaches the panels.,What can reduce panel performance?,dust or heavy shade,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: dust or heavy shade. The passage directly supports this answer; the other choices are not supported by the text.
29,Science & Technology,Medium,Detail,"A school installed motion sensors in empty classrooms. If no movement is detected for a certain time, the lights switch off automatically. Electricity use fell without students changing their behavior.",What do the sensors do when no movement is detected?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,switch off the lights,D,Correct answer: switch off the lights. The passage directly supports this answer; the other choices are not supported by the text.
30,Science & Technology,Medium,Reasoning,"A school installed motion sensors in empty classrooms. If no movement is detected for a certain time, the lights switch off automatically. Electricity use fell without students changing their behavior.",Why did electricity use fall?,an unrelated explanation,the opposite conclusion,Lights no longer stayed on unnecessarily in empty rooms.,a result not supported by the passage,C,Correct answer: Lights no longer stayed on unnecessarily in empty rooms.. The passage directly supports this answer; the other choices are not supported by the text.
31,Science & Technology,Medium,Detail,"Machine translation works well for many everyday sentences. However, humor, unusual expressions, and cultural references can still cause errors because meaning is not always literal.",Which kinds of language can still cause translation errors?,the opposite conclusion,"humor, unusual expressions, and cultural references",a result not supported by the passage,an unrelated explanation,B,"Correct answer: humor, unusual expressions, and cultural references. The passage directly supports this answer; the other choices are not supported by the text."
32,Science & Technology,Medium,Reasoning,"Machine translation works well for many everyday sentences. However, humor, unusual expressions, and cultural references can still cause errors because meaning is not always literal.",Why can these expressions be difficult?,Their meaning is not always literal.,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: Their meaning is not always literal.. The passage directly supports this answer; the other choices are not supported by the text.
33,Science & Technology,High,Detail,"An AI writing tool can produce fluent paragraphs very quickly. However, fluent language does not guarantee factual accuracy, especially on rare topics. Important claims should therefore be checked with reliable sources.",What should users do with important AI-generated claims?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,check them with reliable sources,D,Correct answer: check them with reliable sources. The passage directly supports this answer; the other choices are not supported by the text.
34,Science & Technology,High,Reasoning,"An AI writing tool can produce fluent paragraphs very quickly. However, fluent language does not guarantee factual accuracy, especially on rare topics. Important claims should therefore be checked with reliable sources.",What warning does the passage give?,an unrelated interpretation,the opposite of the writer's point,Fluent AI text can still contain inaccurate information.,a claim the passage does not support,C,Correct answer: Fluent AI text can still contain inaccurate information.. The passage directly supports this answer; the other choices are not supported by the text.
35,Science & Technology,High,Detail,"A city tested traffic lights that changed signal times using live traffic data. Waiting time fell during busy hours, but the system produced little improvement late at night because traffic was already light.",When did the system reduce waiting time most?,the opposite of the writer's point,during busy hours,a claim the passage does not support,an unrelated interpretation,B,Correct answer: during busy hours. The passage directly supports this answer; the other choices are not supported by the text.
36,Science & Technology,High,Reasoning,"A city tested traffic lights that changed signal times using live traffic data. Waiting time fell during busy hours, but the system produced little improvement late at night because traffic was already light.",Why was the effect smaller late at night?,There was already little traffic to reduce.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: There was already little traffic to reduce.. The passage directly supports this answer; the other choices are not supported by the text.
37,Environment,Low,Detail,Reusable water bottles can be filled many times. Using them can reduce the number of single-use plastic bottles thrown away.,What can be used many times?,a completely different activity,something not mentioned in the passage,the opposite of the passage,reusable water bottles,D,Correct answer: reusable water bottles. The passage directly supports this answer; the other choices are not supported by the text.
38,Environment,Low,Reasoning,Reusable water bottles can be filled many times. Using them can reduce the number of single-use plastic bottles thrown away.,Why can reusable bottles help the environment?,something not mentioned in the passage,the opposite of the passage,They reduce single-use plastic waste.,a completely different activity,C,Correct answer: They reduce single-use plastic waste.. The passage directly supports this answer; the other choices are not supported by the text.
39,Environment,Low,Detail,Some farmers collect rainwater in large tanks. They use the stored water on crops during dry periods.,Where do some farmers store rainwater?,the opposite of the passage,in large tanks,a completely different activity,something not mentioned in the passage,B,Correct answer: in large tanks. The passage directly supports this answer; the other choices are not supported by the text.
40,Environment,Low,Reasoning,Some farmers collect rainwater in large tanks. They use the stored water on crops during dry periods.,Why do farmers collect rainwater?,to use it during dry periods,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: to use it during dry periods. The passage directly supports this answer; the other choices are not supported by the text.
41,Environment,Medium,Detail,"A supermarket began selling some vegetables without plastic packaging. Customers placed them directly into reusable bags, and the store used thousands fewer plastic wrappers over three months.",What packaging change did the supermarket make?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,It sold some vegetables without plastic packaging.,D,Correct answer: It sold some vegetables without plastic packaging.. The passage directly supports this answer; the other choices are not supported by the text.
42,Environment,Medium,Reasoning,"A supermarket began selling some vegetables without plastic packaging. Customers placed them directly into reusable bags, and the store used thousands fewer plastic wrappers over three months.",What was the result of the change?,an unrelated explanation,the opposite conclusion,The store used far fewer plastic wrappers.,a result not supported by the passage,C,Correct answer: The store used far fewer plastic wrappers.. The passage directly supports this answer; the other choices are not supported by the text.
43,Environment,Medium,Detail,"A town advised residents to water gardens early in the morning or late in the evening. At midday, heat can cause more water to evaporate before it reaches plant roots.",When are residents advised to water gardens?,the opposite conclusion,early morning or late evening,a result not supported by the passage,an unrelated explanation,B,Correct answer: early morning or late evening. The passage directly supports this answer; the other choices are not supported by the text.
44,Environment,Medium,Reasoning,"A town advised residents to water gardens early in the morning or late in the evening. At midday, heat can cause more water to evaporate before it reaches plant roots.",Why is midday watering less efficient?,More water may evaporate before reaching the roots.,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: More water may evaporate before reaching the roots.. The passage directly supports this answer; the other choices are not supported by the text.
45,Environment,High,Detail,"An office replaced old lights with efficient LEDs. Lighting electricity use fell sharply, but total building energy use fell by a smaller amount because heating, cooling, and computers still used most of the power.",What equipment replaced the old lights?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,efficient LED lights,D,Correct answer: efficient LED lights. The passage directly supports this answer; the other choices are not supported by the text.
46,Environment,High,Reasoning,"An office replaced old lights with efficient LEDs. Lighting electricity use fell sharply, but total building energy use fell by a smaller amount because heating, cooling, and computers still used most of the power.",Why did total energy use fall less than lighting use?,an unrelated interpretation,the opposite of the writer's point,Other building systems still consumed large amounts of power.,a claim the passage does not support,C,Correct answer: Other building systems still consumed large amounts of power.. The passage directly supports this answer; the other choices are not supported by the text.
47,Environment,High,Detail,"A city lowered bus fares to reduce traffic. Passenger numbers increased, but congestion changed very little. Surveys showed that many new bus users had previously walked or cycled rather than driven.",What policy increased bus use?,the opposite of the writer's point,lower bus fares,a claim the passage does not support,an unrelated interpretation,B,Correct answer: lower bus fares. The passage directly supports this answer; the other choices are not supported by the text.
48,Environment,High,Reasoning,"A city lowered bus fares to reduce traffic. Passenger numbers increased, but congestion changed very little. Surveys showed that many new bus users had previously walked or cycled rather than driven.",Why did congestion change very little?,Many new bus passengers were not former car users.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: Many new bus passengers were not former car users.. The passage directly supports this answer; the other choices are not supported by the text.
49,Health & Lifestyle,Low,Detail,Walking for thirty minutes is a simple way to add movement to the day. Some people walk after dinner because it fits easily into their schedule.,How long is the walk described?,a completely different activity,something not mentioned in the passage,the opposite of the passage,thirty minutes,D,Correct answer: thirty minutes. The passage directly supports this answer; the other choices are not supported by the text.
50,Health & Lifestyle,Low,Reasoning,Walking for thirty minutes is a simple way to add movement to the day. Some people walk after dinner because it fits easily into their schedule.,Why do some people walk after dinner?,something not mentioned in the passage,the opposite of the passage,It fits easily into their schedule.,a completely different activity,C,Correct answer: It fits easily into their schedule.. The passage directly supports this answer; the other choices are not supported by the text.
51,Health & Lifestyle,Low,Detail,The body loses water through sweat during exercise. Drinking water helps replace some of the fluid that is lost.,How does the body lose water during exercise?,the opposite of the passage,through sweat,a completely different activity,something not mentioned in the passage,B,Correct answer: through sweat. The passage directly supports this answer; the other choices are not supported by the text.
52,Health & Lifestyle,Low,Reasoning,The body loses water through sweat during exercise. Drinking water helps replace some of the fluid that is lost.,Why is drinking water important during exercise?,It helps replace lost fluid.,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: It helps replace lost fluid.. The passage directly supports this answer; the other choices are not supported by the text.
53,Health & Lifestyle,Medium,Detail,"A student began standing and stretching for two minutes after every forty minutes of study. The breaks did not reduce study time much, but she reported less stiffness in her shoulders.",How often did the student take a stretch break?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,after every forty minutes of study,D,Correct answer: after every forty minutes of study. The passage directly supports this answer; the other choices are not supported by the text.
54,Health & Lifestyle,Medium,Reasoning,"A student began standing and stretching for two minutes after every forty minutes of study. The breaks did not reduce study time much, but she reported less stiffness in her shoulders.",What benefit did she report?,an unrelated explanation,the opposite conclusion,less shoulder stiffness,a result not supported by the passage,C,Correct answer: less shoulder stiffness. The passage directly supports this answer; the other choices are not supported by the text.
55,Health & Lifestyle,Medium,Detail,Some people set extremely ambitious exercise goals and stop after a few days. Trainers often recommend starting with a smaller routine that can be repeated consistently before increasing the challenge.,What do trainers often recommend at the beginning?,the opposite conclusion,a smaller repeatable routine,a result not supported by the passage,an unrelated explanation,B,Correct answer: a smaller repeatable routine. The passage directly supports this answer; the other choices are not supported by the text.
56,Health & Lifestyle,Medium,Reasoning,Some people set extremely ambitious exercise goals and stop after a few days. Trainers often recommend starting with a smaller routine that can be repeated consistently before increasing the challenge.,Why can a smaller starting goal be useful?,It is easier to maintain consistently.,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: It is easier to maintain consistently.. The passage directly supports this answer; the other choices are not supported by the text.
57,Health & Lifestyle,High,Detail,"A workplace offered employees free fruit in the afternoon. Fruit consumption increased, but researchers did not claim that overall health improved because they had not measured what employees ate at other times.",What increased after free fruit was offered?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,fruit consumption,D,Correct answer: fruit consumption. The passage directly supports this answer; the other choices are not supported by the text.
58,Health & Lifestyle,High,Reasoning,"A workplace offered employees free fruit in the afternoon. Fruit consumption increased, but researchers did not claim that overall health improved because they had not measured what employees ate at other times.",Why were researchers cautious about claiming better health?,an unrelated interpretation,the opposite of the writer's point,They lacked information about employees' overall diets.,a claim the passage does not support,C,Correct answer: They lacked information about employees' overall diets.. The passage directly supports this answer; the other choices are not supported by the text.
59,Health & Lifestyle,High,Detail,"A fitness app rewards users for reaching a daily step target. Some people walk more because of the target, while others become discouraged when they repeatedly miss it.",What does the app reward?,the opposite of the writer's point,reaching a daily step target,a claim the passage does not support,an unrelated interpretation,B,Correct answer: reaching a daily step target. The passage directly supports this answer; the other choices are not supported by the text.
60,Health & Lifestyle,High,Reasoning,"A fitness app rewards users for reaching a daily step target. Some people walk more because of the target, while others become discouraged when they repeatedly miss it.",What is the main point of the passage?,The same motivational tool can affect people differently.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: The same motivational tool can affect people differently.. The passage directly supports this answer; the other choices are not supported by the text.
61,Culture & Society,Low,Detail,"During Navruz, many families prepare special food and visit relatives or neighbors. The holiday is associated with the beginning of spring.",Which season is Navruz associated with?,a completely different activity,something not mentioned in the passage,the opposite of the passage,spring,D,Correct answer: spring. The passage directly supports this answer; the other choices are not supported by the text.
62,Culture & Society,Low,Reasoning,"During Navruz, many families prepare special food and visit relatives or neighbors. The holiday is associated with the beginning of spring.",What do many families do during Navruz?,something not mentioned in the passage,the opposite of the passage,prepare special food and visit people,a completely different activity,C,Correct answer: prepare special food and visit people. The passage directly supports this answer; the other choices are not supported by the text.
63,Culture & Society,Low,Detail,A local museum offers free entry to students every Wednesday. Students must show a school card at the entrance.,When do students receive free entry?,the opposite of the passage,every Wednesday,a completely different activity,something not mentioned in the passage,B,Correct answer: every Wednesday. The passage directly supports this answer; the other choices are not supported by the text.
64,Culture & Society,Low,Reasoning,A local museum offers free entry to students every Wednesday. Students must show a school card at the entrance.,What must students show?,a school card,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: a school card. The passage directly supports this answer; the other choices are not supported by the text.
65,Culture & Society,Medium,Detail,A city library began displaying books in several languages spoken by local residents. Borrowing increased among families that had rarely used the library before.,What change did the library make?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,It displayed books in several local languages.,D,Correct answer: It displayed books in several local languages.. The passage directly supports this answer; the other choices are not supported by the text.
66,Culture & Society,Medium,Reasoning,A city library began displaying books in several languages spoken by local residents. Borrowing increased among families that had rarely used the library before.,Why did borrowing probably increase?,an unrelated explanation,the opposite conclusion,The library became more accessible to different families.,a result not supported by the passage,C,Correct answer: The library became more accessible to different families.. The passage directly supports this answer; the other choices are not supported by the text.
67,Culture & Society,Medium,Detail,"An old market was renovated, but planners kept its traditional entrance and decorative patterns. They wanted the building to become safer without losing its historical character.",What features did planners keep?,the opposite conclusion,the traditional entrance and decorative patterns,a result not supported by the passage,an unrelated explanation,B,Correct answer: the traditional entrance and decorative patterns. The passage directly supports this answer; the other choices are not supported by the text.
68,Culture & Society,Medium,Reasoning,"An old market was renovated, but planners kept its traditional entrance and decorative patterns. They wanted the building to become safer without losing its historical character.",What balance were planners trying to achieve?,modern safety with historical identity,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: modern safety with historical identity. The passage directly supports this answer; the other choices are not supported by the text.
69,Culture & Society,High,Detail,"A neighborhood limited loud construction work in the early morning and late evening. Builders wanted more scheduling flexibility, while residents wanted predictable quiet hours.",What activity was limited?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,loud construction during early morning and late evening,D,Correct answer: loud construction during early morning and late evening. The passage directly supports this answer; the other choices are not supported by the text.
70,Culture & Society,High,Reasoning,"A neighborhood limited loud construction work in the early morning and late evening. Builders wanted more scheduling flexibility, while residents wanted predictable quiet hours.",What conflict does the passage describe?,an unrelated interpretation,the opposite of the writer's point,work flexibility versus residents' quality of life,a claim the passage does not support,C,Correct answer: work flexibility versus residents' quality of life. The passage directly supports this answer; the other choices are not supported by the text.
71,Culture & Society,High,Detail,"A city festival attracted many tourists and increased income for local businesses. At the same time, residents complained about crowded streets and rising short-term rental prices.",What benefit did the festival bring?,the opposite of the writer's point,more income for local businesses,a claim the passage does not support,an unrelated interpretation,B,Correct answer: more income for local businesses. The passage directly supports this answer; the other choices are not supported by the text.
72,Culture & Society,High,Reasoning,"A city festival attracted many tourists and increased income for local businesses. At the same time, residents complained about crowded streets and rising short-term rental prices.",What broader idea does the passage illustrate?,Tourism can create both benefits and local pressures.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: Tourism can create both benefits and local pressures.. The passage directly supports this answer; the other choices are not supported by the text.
73,Travel & Geography,Low,Detail,A train leaves Tashkent at 09:00 and arrives in Samarkand at 11:10. Passengers are advised to reach the station early.,When does the train arrive in Samarkand?,a completely different activity,something not mentioned in the passage,the opposite of the passage,11:10,D,Correct answer: 11:10. The passage directly supports this answer; the other choices are not supported by the text.
74,Travel & Geography,Low,Reasoning,A train leaves Tashkent at 09:00 and arrives in Samarkand at 11:10. Passengers are advised to reach the station early.,How long is the journey?,something not mentioned in the passage,the opposite of the passage,two hours and ten minutes,a completely different activity,C,Correct answer: two hours and ten minutes. The passage directly supports this answer; the other choices are not supported by the text.
75,Travel & Geography,Low,Detail,A mountain trail is open from May to October. Heavy winter snow can make the path unsafe.,When is the trail open?,the opposite of the passage,from May to October,a completely different activity,something not mentioned in the passage,B,Correct answer: from May to October. The passage directly supports this answer; the other choices are not supported by the text.
76,Travel & Geography,Low,Reasoning,A mountain trail is open from May to October. Heavy winter snow can make the path unsafe.,Why can the trail be unsafe in winter?,because of heavy snow,a completely different activity,something not mentioned in the passage,the opposite of the passage,A,Correct answer: because of heavy snow. The passage directly supports this answer; the other choices are not supported by the text.
77,Travel & Geography,Medium,Detail,"A family chose a hotel outside the city center because it was close to a metro station. Although major attractions were not within walking distance, the family reached them quickly by public transport.",Why did the family choose the hotel?,a result not supported by the passage,an unrelated explanation,the opposite conclusion,It was close to a metro station.,D,Correct answer: It was close to a metro station.. The passage directly supports this answer; the other choices are not supported by the text.
78,Travel & Geography,Medium,Reasoning,"A family chose a hotel outside the city center because it was close to a metro station. Although major attractions were not within walking distance, the family reached them quickly by public transport.",Why was the location still convenient?,an unrelated explanation,the opposite conclusion,Good public transport provided quick access to attractions.,a result not supported by the passage,C,Correct answer: Good public transport provided quick access to attractions.. The passage directly supports this answer; the other choices are not supported by the text.
79,Travel & Geography,Medium,Detail,A hiking guide recommends carrying an extra layer of clothing even on warm mornings because mountain temperatures can change quickly after sunset or when clouds arrive.,What does the guide recommend carrying?,the opposite conclusion,an extra layer of clothing,a result not supported by the passage,an unrelated explanation,B,Correct answer: an extra layer of clothing. The passage directly supports this answer; the other choices are not supported by the text.
80,Travel & Geography,Medium,Reasoning,A hiking guide recommends carrying an extra layer of clothing even on warm mornings because mountain temperatures can change quickly after sunset or when clouds arrive.,Why is the extra clothing useful?,Mountain temperatures can change quickly.,a result not supported by the passage,an unrelated explanation,the opposite conclusion,A,Correct answer: Mountain temperatures can change quickly.. The passage directly supports this answer; the other choices are not supported by the text.
81,Travel & Geography,High,Detail,A tourist destination became famous on social media and visitor numbers rose sharply. Authorities introduced timed entry tickets because narrow walking paths could not safely handle unlimited crowds.,What system did authorities introduce?,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,timed entry tickets,D,Correct answer: timed entry tickets. The passage directly supports this answer; the other choices are not supported by the text.
82,Travel & Geography,High,Reasoning,A tourist destination became famous on social media and visitor numbers rose sharply. Authorities introduced timed entry tickets because narrow walking paths could not safely handle unlimited crowds.,Why were timed tickets introduced?,an unrelated interpretation,the opposite of the writer's point,to control unsafe crowding on narrow paths,a claim the passage does not support,C,Correct answer: to control unsafe crowding on narrow paths. The passage directly supports this answer; the other choices are not supported by the text.
83,Travel & Geography,High,Detail,"A desert city receives little annual rain, yet sudden storms can still cause flooding. Dry ground may absorb water slowly, causing rain to move rapidly toward low areas.",What weather event can cause flooding?,the opposite of the writer's point,sudden storms,a claim the passage does not support,an unrelated interpretation,B,Correct answer: sudden storms. The passage directly supports this answer; the other choices are not supported by the text.
84,Travel & Geography,High,Reasoning,"A desert city receives little annual rain, yet sudden storms can still cause flooding. Dry ground may absorb water slowly, causing rain to move rapidly toward low areas.",Why can flooding happen despite low annual rainfall?,Dry ground may absorb sudden rain slowly.,a claim the passage does not support,an unrelated interpretation,the opposite of the writer's point,A,Correct answer: Dry ground may absorb sudden rain slowly.. The passage directly supports this answer; the other choices are not supported by the text.
85,Business & Work,Low,Detail,A small café opens at 8:00 and closes at 20:00. Its busiest period is usually between 12:00 and 14:00.,When does the café close?,a completely different activity,something not mentioned in the passage,the opposite of the passage,20:00,D,Correct answer: 20:00. The passage directly supports this answer; the other choices are not supported by the text.
